,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Value,Name used in spreadsheet,,,,,,,,,,,,,,,,,,
Key input parameters in model ,,,,,,,,,,,,,,,,,,,,,,,,
Size of time step (days),,,,,0.5,t_step,,,,,,,,,,,,,,,,,,
Total population size,,,,,5234,tot_popn,,,,,,,,,,,,,,,,,,
Average pre-infectious period (days) ,,,,,2,ave_preinfous,,,,,,,,,,,,,,,,,,
Average duration of infectiousness (days),,,,,2,ave_infous,,,,,,,,,,,,,,,,,,
R0,,,,,2.1,R0,,,,,,,,,,,,,,,,,,
Proportion immune at the start,,,,,0.3,prop_immune_0,,,,,,,,,,,,,,,,,,
Proportion of those infectious who are reported as cases,,,,,0.8,prop_reported,,,,,,,,,,,,,,,,,,
Number infectious at the start,,,,,2,infous_0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Rate at which two specific individuals come into effective contact per time step,,,,,0.000100306,beta,,,,,,,,,,,,,,,,,,
Average rate of onset of infectiousness per time step (f),,,,,0.25,infous_rate,,,,,,,,,,,,,,,,,,
Average recovery rate per time step (r ),,,,,0.25,rec_rate,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Goodness of fit (loglikelihood deviance),,,1733.264549,,,,,,,,,,,,,,,,,,,,,
46,3072.960721,81.6750516,73.08597115,2006.278256,19.88453531,15.90762825,,,,,,,,,,,,,,,,,,
46.5,3050.433033,83.78397637,75.23324126,2024.549749,20.4187629,16.33501032,,,,,,,,,,,,,,,,,,
47,3027.413482,85.85753353,77.37092504,2043.358059,20.94599409,16.75679527,,,,,,,,,,,,,,,,,,
47.5,3003.9185,87.88813206,79.49257716,2062.700791,21.46438338,17.17150671,,,,,,,,,,,,,,,,,,
48,2979.966582,89.86801769,81.59146589,2082.573935,21.97203302,17.57762641,,,,,,,,,,,,,,,,,,
48.5,2955.578271,91.78932371,83.66060384,2102.971801,22.46700442,17.97360354,,,,,,,,,,,,,,,,,,
49,2930.776137,93.64412652,85.6927838,2123.886952,22.94733093,18.35786474,219.2806742,,,,,,,,,,,,,,,,,
49.5,2905.584727,95.42450531,87.68061948,2145.310148,23.41103163,18.7288253,,,,,,,,,,,,,,,,,,
50,2880.030501,97.12260541,89.61659094,2167.230303,23.85612633,19.08490106,,,,,,,,,,,,,,,,,,
50.5,2854.14175,98.73070463,91.49309456,2189.634451,24.28065135,19.42452108,,,,,,,,,,,,,,,,,,
51,2827.948497,100.2412816,93.30249708,2212.507724,24.68267616,19.74614093,,,,,,,,,,,,,,,,,,
51.5,2801.482373,101.6470855,95.03719322,2235.833349,25.06032041,20.04825633,,,,,,,,,,,,,,,,,,
52,2774.776481,102.9412057,96.68966629,2259.592647,25.41177138,20.32941711,,,,,,,,,,,,,,,,,,
52.5,2747.865245,104.1171407,98.25255114,2283.765064,25.73530142,20.58824114,,,,,,,,,,,,,,,,,,
53,2720.784235,105.1688651,99.71869852,2308.328201,26.02928516,20.82342813,,,,,,,,,,,,,,,,,,
53.5,2693.56999,106.0908938,101.0812402,2333.257876,26.29221628,21.03377303,,,,,,,,,,,,,,,,,,
54,2666.25982,106.8783408,102.3336536,2358.528186,26.52272345,21.21817876,,,,,,,,,,,,,,,,,,
54.5,2638.891601,107.5269744,103.4698254,2384.111599,26.71958521,21.37566817,,,,,,,,,,,,,,,,,,
55,2611.503567,108.0332644,104.4841126,2409.979056,26.8817436,21.50539488,,,,,,,,,,,,,,,,,,
55.5,2584.134092,108.3944233,105.3714006,2436.100084,27.0083161,21.60665288,,,,,,,,,,,,,,,,,,
56,2556.821471,108.6084388,106.1271563,2462.442934,27.09860583,21.67888467,287.1922835,,,,,,,,,,,,,,,,,
56.5,2529.603702,108.6740977,106.7474769,2488.974723,27.15210971,21.72168777,,,,,,,,,,,,,,,,,,
57,2502.518275,108.5910006,107.2291321,2515.661592,27.16852442,21.73481954,,,,,,,,,,,,,,,,,,
57.5,2475.601958,108.3595674,107.5695992,2542.468875,27.14775015,21.71820012,,,,,,,,,,,,,,,,,,
58,2448.890601,107.9810326,107.7670913,2569.361275,27.08989185,21.67191348,,,,,,,,,,,,,,,,,,
58.5,2422.418944,107.4574317,107.8205766,2596.303048,26.99525816,21.59620653,,,,,,,,,,,,,,,,,,
59,2396.22044,106.7915776,107.7297904,2623.258192,26.86435793,21.49148634,,,,,,,,,,,,,,,,,,
59.5,2370.327094,105.9870288,107.4952372,2650.19064,26.69789439,21.35831551,,,,,,,,,,,,,,,,,,
60,2344.769316,105.0480493,107.1181851,2677.064449,26.4967572,21.19740576,,,,,,,,,,,,,,,,,,
60.5,2319.575793,103.9795606,106.6006511,2703.843995,26.26201232,21.00960986,,,,,,,,,,,,,,,,,,
