,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,Value,Name used in spreadsheet,,,,,,,,,,,
Key input parameters in model ,,,,,,,,,,,,,,,,,
Size of time step (days),,,,,1,t_step,,,,,,,,,,,
Total population size,,,,,100000,tot_popn,,,,,,,,,,,
Average pre-infectious period (days) ,,,,,2,ave_preinfous,,,,,,,,,,,
Average duration of infectiousness (days),,,,,2,ave_infous,,,,,,,,,,,
R0,,,,,2,R0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Rate at which two specific individuals come into effective contact per time step,,,,,0.00001,beta,,,,,,,,,,,
Average rate of onset of infectiousness per time step (f),,,,,0.5,infous_rate,,,,,,,,,,,
Average recovery rate per time step (r ),,,,,0.5,rec_rate,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
103,18844.91936,1.578550306,2.571203517,81150.93089,0.600461495,0.978088811,,100000,,,17187.05735,4.93794E-09,82812.94265,1.26317E-09,,,
104,18844.43482,1.273816382,2.074876911,81152.21649,0.484541229,0.789275153,,100000,,,17187.05735,3.31766E-09,82812.94265,8.48687E-10,,,
105,18844.04382,1.027907018,1.674346647,81153.25393,0.390998827,0.636908191,,100000,,,17187.05735,2.22904E-09,82812.94265,5.70208E-10,,,
106,18843.7283,0.829468125,1.351126833,81154.0911,0.315514616,0.513953509,,100000,,,17187.05735,1.49762E-09,82812.94265,3.83106E-10,,,
107,18843.4737,0.669336732,1.090297479,81154.76667,0.254602669,0.414734062,,100000,,,17187.05735,1.00621E-09,82812.94265,2.57398E-10,,,
108,18843.26825,0.540118285,0.879817105,81155.31182,0.205449919,0.334668366,,100000,,,17187.05735,6.76043E-10,82812.94265,1.72938E-10,,,
109,18843.10246,0.43584544,0.709967695,81155.75172,0.165786297,0.270059142,,100000,,,17187.05735,4.54213E-10,82812.94265,1.16192E-10,,,
110,18842.96868,0.35170266,0.572906567,81156.10671,0.13377994,0.21792272,,100000,,,17187.05735,3.05172E-10,82812.94265,7.80659E-11,,,
111,18842.86073,0.283803935,0.462304614,81156.39316,0.107952605,0.17585133,,100000,,,17187.05735,2.05036E-10,82812.94265,5.24502E-11,,,
112,18842.77362,0.229013382,0.373054274,81156.62431,0.087111414,0.141901968,,100000,,,17187.05735,1.37758E-10,82812.94265,3.52397E-11,,,
113,18842.70333,0.184800463,0.301033828,81156.81084,0.070293772,0.114506691,,100000,,,17187.05735,9.25555E-11,82812.94265,2.36765E-11,,,
114,18842.6466,0.149123143,0.242917146,81156.96136,0.056722911,0.092400232,,100000,,,17187.05735,6.21853E-11,82812.94265,1.59076E-11,,,
115,18842.60083,0.120333591,0.196020144,81157.08282,0.045772019,0.074561571,,100000,,,17187.05735,4.17805E-11,82812.94265,1.06878E-11,,,
116,18842.5639,0.097102089,0.158176868,81157.18083,0.036935293,0.060166795,,100000,,,17187.05735,2.80711E-11,82812.94265,7.18084E-12,,,
117,18842.53409,0.078355622,0.127639478,81157.25991,0.029804577,0.048551044,,100000,,,17187.05735,1.88601E-11,82812.94265,4.82459E-12,,,
118,18842.51004,0.063228323,0.10299755,81157.32373,0.024050512,0.039177811,,100000,,,17187.05735,1.26716E-11,82812.94265,3.2415E-12,,,
119,18842.49063,0.051021485,0.083112936,81157.37523,0.019407324,0.031614162,,100000,,,17187.05735,8.51365E-12,82812.94265,2.17787E-12,,,
120,18842.47497,0.04117129,0.067067211,81157.41679,0.015660547,0.025510743,,100000,,,17187.05735,5.72007E-12,82812.94265,1.46325E-12,,,
121,18842.46234,0.033222767,0.05411925,81157.45032,0.012637122,0.020585645,,100000,,,17187.05735,3.84315E-12,82812.94265,9.83112E-13,,,
122,18842.45214,0.026808783,0.043671009,81157.47738,0.010197399,0.016611384,,100000,,,17187.05735,2.5821E-12,82812.94265,6.60524E-13,,,
123,18842.44391,0.02163308,0.035239896,81157.49922,0.008228689,0.013404392,,100000,,,17187.05735,1.73484E-12,82812.94265,4.43787E-13,,,
124,18842.43727,0.017456598,0.028436488,81157.51684,0.006640058,0.01081654,,100000,,,17187.05735,1.16559E-12,82812.94265,2.98167E-13,,,
125,18842.43191,0.014086426,0.022946543,81157.53106,0.005358127,0.008728299,,100000,,,17187.05735,7.83122E-13,82812.94265,2.0033E-13,,,
126,18842.42759,0.0113669,0.018516485,81157.54253,0.004323687,0.007043213,,100000,,,17187.05735,5.26157E-13,82812.94265,1.34596E-13,,,
127,18842.4241,0.009172405,0.014941692,81157.55179,0.003488955,0.00568345,,100000,,,17187.05735,3.53509E-13,82812.94265,9.04309E-14,,,
128,18842.42128,0.00740158,0.012057049,81157.55926,0.002815377,0.004586203,,100000,,,17187.05735,2.37513E-13,82812.94265,6.07579E-14,,,
129,18842.41901,0.00597263,0.009729314,81157.56529,0.00227184,0.00370079,,100000,,,17187.05735,1.59578E-13,82812.94265,4.08214E-14,,,
130,18842.41718,0.004819553,0.007850972,81157.57015,0.001833238,0.002986315,,100000,,,17187.05735,1.07216E-13,82812.94265,2.74267E-14,,,
131,18842.4157,0.003889089,0.006335262,81157.57408,0.001479313,0.002409777,,100000,,,17187.05735,7.2035E-14,82812.94265,1.84272E-14,,,
132,18842.4145,0.003138261,0.005112176,81157.57724,0.001193716,0.001944545,,100000,,,17187.05735,4.83982E-14,82812.94265,1.23807E-14,,,
133,18842.41354,0.002532388,0.004125219,81157.5798,0.000963257,0.001569131,,100000,,,17187.05735,3.25173E-14,82812.94265,8.31822E-15,,,
